locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
629204,Linda's Catering,Truck,358000,07TH AVE: LINCOLN WAY to HUGO ST (1200 - 1246),1219 07TH AVE,1743003,1743,3,15MFF-0047,APPROVED,Hot Dogs: Hamburgers: Nachos: Steaks: Pastas: Asian Dishes: Tri-Tip Sandwiches: Sodas & Water,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0047&ExportPDF=1&Filename=15MFF-0047_schedule.pdf,Sa-Su:9AM-5PM,,05/01/2015 03:45:15 PM,2015-03-10,1,2016-03-15,"37.765497001414, -122.464597619561"
629230,Got Snacks,Push Cart,184001,03RD ST: TERRY A FRANCOIS BLVD to CHANNEL (1000 - 1099),1020 03RD ST,8714002,8714,2,15MFF-0048,APPROVED,sunflower seeds: crackerjacks: bottled water: peanuts: candy,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0048&ExportPDF=1&Filename=15MFF-0048_schedule.pdf,Mo-Su:10AM-9PM,,03/11/2015 08:41:54 AM,2015-03-11,1,2016-03-15,"37.7755101518346, -122.390999305993"
629324,Curbside Coffee,Push Cart,12046000,SPEAR ST: HOWARD ST to FOLSOM ST (200 - 299),124 FOLSOM ST,3740031,3740,31,15MFF-0049,APPROVED,Coffee: Espresso Drinks: Pastries: Water: Soda: Tea: Pre-Packaged Foods,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0049&ExportPDF=1&Filename=15MFF-0049_schedule.pdf,Mo-Su:6AM-2PM,,03/11/2015 01:12:00 PM,2015-03-11,1,2016-03-15,"37.7900747911128, -122.391392669916"
629889,John's Catering #5,Truck,6711000,HARRISON ST: FREMONT ST \ I-80 W OFF RAMP to 01ST ST \ I-80 E ON RAMP (400 - 499),401 HARRISON ST,3765022,3765,22,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,Mo-Fr:5AM-6AM,,03/12/2015 01:35:52 PM,2015-03-11,1,2016-03-15,"37.7860625348721, -122.392176463939"
629890,John's Catering #5,Truck,9090000,MISSION ST: SHAW ALY to ANTHONY ST (543 - 586),560 MISSION ST,3708095,3708,95,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,Mo-Fr:6AM-7AM,,03/12/2015 01:35:52 PM,2015-03-11,1,2016-03-15,"37.7888647291153, -122.399359351353"
629891,John's Catering #5,Truck,10460000,PINE ST: MONTGOMERY ST to BELDEN ST (400 - 489),555 CALIFORNIA ST,259026,259,26,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,Mo-Fr:7AM-8AM,,03/12/2015 01:35:52 PM,2015-03-11,1,2016-03-15,"37.7922616479464, -122.403485955382"
629892,John's Catering #5,Truck,8731000,MARIPOSA ST: HAMPSHIRE ST to YORK ST (2500 - 2599),2500 MARIPOSA ST,3971001,3971,1,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,Mo-Fr:8AM-9AM,,03/12/2015 01:35:52 PM,2015-03-11,1,2016-03-15,"37.7637272274294, -122.40933414878"
629893,John's Catering #5,Truck,3081000,BRANNAN ST: 05TH ST to 06TH ST \ I-280 NORTHBOUND \ I-280 SOUTHBOUND (600 - 699),610 BRANNAN ST,3778047,3778,47,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,Mo-Fr:9AM-10AM,,03/12/2015 01:35:52 PM,2015-03-11,1,2016-03-15,"37.7766269337064, -122.399555503777"
629894,John's Catering #5,Truck,186201,03RD ST: 16TH ST to MARIPOSA ST (1800 - 1998) -- WEST --,1900 03RD ST,3992003,3992,3,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,Mo-Fr:9AM-10AM,,03/12/2015 01:35:52 PM,2015-03-11,1,2016-03-15,"37.765106476986, -122.389679487281"
629895,John's Catering #5,Truck,6745000,HARRISON ST: 16TH ST \ TREAT AVE to 17TH ST (2000 - 2099),2010 HARRISON ST,3767079,3767,79,15MFF-0050,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0050&ExportPDF=1&Filename=15MFF-0050_schedule.pdf,Mo-Fr:9AM-10AM,,03/12/2015 01:35:52 PM,2015-03-11,1,2016-03-15,"37.7875875185016, -122.390471540322"
