locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
305709,Bombay Blvd.,Truck,8627000,MAIN ST: MARKET ST to MISSION ST (1 - 99),50 MAIN ST,3711018,3711,18,11MFF-0039,REQUESTED,Indian Style: BBQ: Variety of Curries: Rice: Wraps: Breads (Naan: Rotis: Parathas): Desserts: Pizza.  Beverages: Condiments: Indian Soups: Salads & Appetizer Varieties.,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0039&ExportPDF=1&Filename=11MFF-0039_schedule.pdf,Mo-Su:10AM-3PM/5PM-8PM,,,2011-03-07,0,,
305715,Bombay Blvd.,Truck,2863000,BEALE ST: DAVIS ST \ MARKET ST \ PINE ST to MISSION ST (1 - 99),333 MARKET ST,3710020,3710,20,11MFF-0039,REQUESTED,Indian Style: BBQ: Variety of Curries: Rice: Wraps: Breads (Naan: Rotis: Parathas): Desserts: Pizza.  Beverages: Condiments: Indian Soups: Salads & Appetizer Varieties.,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0039&ExportPDF=1&Filename=11MFF-0039_schedule.pdf,Mo-Su:10AM-3PM/5PM-8PM,,,2011-03-07,0,,"37.7917780021754, -122.397517086459"
305727,Bombay Blvd.,Truck,9090000,MISSION ST: SHAW ALY to ANTHONY ST (543 - 586),561 MISSION ST,3721079,3721,79,11MFF-0040,REQUESTED,Indian Style: BBQ: Variety of Curries: Rice: Wraps: Breads (Naan: Rotis: Parathas): Desserts: Pizza.  Beverages: Condiments: Indian Soups: Salads & Appetizer Varieties.,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0040&ExportPDF=1&Filename=11MFF-0040_schedule.pdf,Mo-Su:10AM-3PM/5PM-8PM,,,2011-03-07,0,,
305735,Bombay Blvd.,Truck,165000,03RD ST: JESSIE ST to MISSION ST (68 - 99),86 03RD ST,3706093,3706,93,11MFF-0040,REQUESTED,Indian Style: BBQ: Variety of Curries: Rice: Wraps: Breads (Naan: Rotis: Parathas): Desserts: Pizza.  Beverages: Condiments: Indian Soups: Salads & Appetizer Varieties.,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0040&ExportPDF=1&Filename=11MFF-0040_schedule.pdf,Mo-Su:10AM-3PM/5PM-8PM,,,2011-03-07,0,,"37.7862060958787, -122.402532491336"
321365,Sausage Slinger,Push Cart,9544000,NEW MONTGOMERY ST: MISSION ST to MINNA ST (100 - 130),100 NEW MONTGOMERY ST,3722071,3722,71,11MFF-0070,SUSPEND,Hot Dogs: Chips and Soda,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0070&ExportPDF=1&Filename=11MFF-0070_schedule.pdf,Mo-Fr:8AM-6PM,,,2011-04-11,0,2013-03-15,"37.7870415696457, -122.400427155574"
334914,Halal Cart,Push Cart,8748101,MARKET ST: 05TH ST \ CYRIL MAGNIN ST to MASON ST \ TURK ST (901 - 941) -- SOUTH --,901 MARKET ST,3704001,3704,1,11MFF-0175,REQUESTED,Kebab: Halal Gyros: Grilled Halal Meat: Beverages,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0175&ExportPDF=1&Filename=11MFF-0175_schedule.pdf,Sa-Su:12AM-3AM;Mo-Su:10AM-8PM;Fr/Sa:9PM-12AM,,,2011-09-26,0,,"37.7834700798603, -122.408040736128"
338539,Bacon Bacon,Truck,4608000,DAVIS ST: CLAY ST to WASHINGTON ST (300 - 399),250 CLAY ST,204023,204,23,11MFF-0177,REQUESTED,Bacon burger: bacon grilled cheese: bacon sandwiches: bacon tacos: bacon fries: bacon strips: bacon caramel corn,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0177&ExportPDF=1&Filename=11MFF-0177_schedule.pdf,Tu/We/Fr:6AM-4PM,,,2011-10-05,0,,"37.7957009190825, -122.398489753577"
338548,Bacon Bacon,Truck,5872000,FRONT ST: JACKSON ST to PACIFIC AVE (600 - 699),600 FRONT ST,172010,172,10,11MFF-0177,REQUESTED,Bacon burger: bacon grilled cheese: bacon sandwiches: bacon tacos: bacon fries: bacon strips: bacon caramel corn,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0177&ExportPDF=1&Filename=11MFF-0177_schedule.pdf,Mo/We/Th:10AM-7PM,,,2011-10-05,0,,"37.7974551705463, -122.399011222811"
364218,The Chai Cart,Push Cart,9543000,NEW MONTGOMERY ST: AMBROSE BIERCE ST to MISSION ST (77 - 99),79 NEW MONTGOMERY ST,3707014,3707,14,12MFF-0083,SUSPEND,Hot Indian Chai (Tea),http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0083&ExportPDF=1&Filename=12MFF-0083_schedule.pdf,Mo-Su:7AM-6PM,,,2012-04-03,0,,"37.7878897136792, -122.400535326768"
364615,The Chai Cart,Push Cart,3529000,CALIFORNIA ST: LEIDESDORFF ST to MONTGOMERY ST (449 - 499),400 MONTGOMERY ST,239009,239,9,12MFF-0084,REQUESTED,Hot Indian Chai (Tea) & Prepackaged Indian Snacks.,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0084&ExportPDF=1&Filename=12MFF-0084_schedule.pdf,Mo-Su:7AM-6PM,,,2012-04-04,0,2015-03-15,"37.7931486407515, -122.402567175568"
427471,French Creme Brulee,Push Cart,8745201,MARKET ST: 03RD ST \ KEARNY ST to GRANT AVE \ OFARRELL ST (700 - 748) -- NORTH --,720 MARKET ST,312004,312,4,13MFF-0042,EXPIRED,Creme Brulee: Creme au Chocolat: Creme au Caramel:  Panna Cotta: Mini Cheesecakes: Pumpkin Cake: Salade De Fruits: Crepes with Fruit: Cold Drinks: Ice Cream: Water.,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0042&ExportPDF=1&Filename=13MFF-0042_schedule.pdf,Mo-Su:8AM-8PM,,03/12/2013 01:23:33 PM,2013-03-12,0,2014-03-15,"37.787598429328, -122.404090439424"
428674,El Tonayanse #4 / #36,Truck,6740000,HARRISON ST: 13TH ST to 14TH ST (1700 - 1799),1717 HARRISON ST,3901001,3901,1,13MFF-0088,EXPIRED,Tacos: Burritos: Tortas: Quesadillas,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0088&ExportPDF=1&Filename=13MFF-0088_schedule.pdf,Mo-Su:10AM-7PM,,05/09/2013 09:10:43 AM,2013-03-20,1,2014-03-15,
429253,Your Community Foods,Truck,214201,03RD ST: QUESADA AVE to BAY VIEW ST \ REVERE AVE (5000 - 5098) -- WEST --,5048 03RD ST,5338006,5338,6,13MFF-0094,EXPIRED,Wraps: Sandwiches: Chicken Wings: Fries: Lemonade: Juices,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0094&ExportPDF=1&Filename=13MFF-0094_schedule.pdf,Mo/Tu/We/Th/Fr:10AM-8PM,,06/28/2013 09:47:19 AM,2013-03-22,0,2014-03-15,"37.7327945058551, -122.391768324822"
437190,Natan's Catering,Truck,0,,Assessors Block 8722/Lot003,8722003,8722,3,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7674330311242, -122.392149114162"
437191,Natan's Catering,Truck,5340000,EVANS AVE: NAPOLEON ST \ TOLAND ST to MARIN ST (2000 - 2099),2045 EVANS AVE,4343002,4343,2,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:10AM-11AM,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7477721054195, -122.397031718968"
437192,Natan's Catering,Truck,6759001,HARRISON ST: 26TH ST to KAMILLE CT (3000 - 3048),3040 HARRISON ST,6573001,6573,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:11AM-12PM,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7488480703773, -122.412618994645"
437193,Natan's Catering,Truck,0,,Assessors Block 5598/Lot031,5598031,5598,31,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7403038866252, -122.406059743484"
437194,Natan's Catering,Truck,0,,Assessors Block 7295/Lot022,7295022,7295,22,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7300036970184, -122.478186325404"
437195,Natan's Catering,Truck,1232000,23RD ST: END to ILLINOIS ST (100 - 699),435 23RD ST,4232010,4232,10,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:12PM-1PM,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7550307405717, -122.384530734213"
437196,Natan's Catering,Truck,0,,Assessors Block 4172/Lot010,4172010,4172,10,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.757124574189, -122.388529515247"
437197,Natan's Catering,Truck,0,,Assessors Block 4058/Lot010,4058010,4058,10,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7611830083041, -122.388118704067"
437198,Natan's Catering,Truck,3376000,BURKE AVE: END to 03RD ST (1500 - 1599),1580 BURKE AVE,5203066,5203,66,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Fr:8AM-9AM;Sa:9AM-10AM,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7447522054313, -122.385679248712"
437199,Natan's Catering,Truck,698000,16TH ST: 04TH ST to OWENS ST (600 - 699),600 16TH ST,8718001,8718,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:9AM-10AM;Mo-Fr:12PM-1PM,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7674663009377, -122.390860289421"
437200,Natan's Catering,Truck,381000,07TH ST: HOOPER ST to IRWIN ST (1100 - 1199),1140 07TH ST,3820002,3820,2,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa:9AM-10AM,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7682494005857, -122.398430650204"
437201,Natan's Catering,Truck,0,,Assessors Block 4227/Lot012,4227012,4227,12,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7531551205222, -122.391174184446"
437202,Natan's Catering,Truck,10658000,POTRERO AVE: 10TH ST \ BRANNAN ST \ DIVISION ST to ALAMEDA ST (1 - 99),66 POTRERO AVE,3906004,3906,4,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa:10AM-11AM;Mo-Fr:4PM-5PM,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7685433028161, -122.408492892429"
437203,Natan's Catering,Truck,0,,Assessors Block 5369/Lot003,5369003,5369,3,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7381177854132, -122.404418467202"
437204,Natan's Catering,Truck,797000,17TH ST: MISSION ST to HOFF ST (3300 - 3343),3335 17TH ST,3576086,3576,86,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa:10AM-11AM;Mo/Tu/We/Th/Fr:1PM-2PM,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7631564070236, -122.420322231517"
437205,Natan's Catering,Truck,0,,Assessors Block 4046/Lot001,4046001,4046,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7620084718284, -122.385441811558"
437206,Natan's Catering,Truck,0,,Assessors Block 5216/Lot030,5216030,5216,30,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7454064432308, -122.390081224837"
437207,Natan's Catering,Truck,0,,Assessors Block 4103/Lot023A,4103023A,4103,023A,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7583034094443, -122.393514054807"
437208,Natan's Catering,Truck,2468000,CESAR CHAVEZ ST: 03RD ST to TENNESSEE ST (1000 - 1099),Assessors Block 4315/Lot03008,431503008,4315,3008,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,
437209,Natan's Catering,Truck,8954000,MENDELL ST: CARGO WAY to NEWHALL ST (1 - 199),151 MENDELL ST,4570019,4570,19,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Fr:8AM-9AM,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7428202484928, -122.382847355508"
437210,Natan's Catering,Truck,7166000,ILLINOIS ST: MARIPOSA ST \ TERRY A FRANCOIS BLVD to 18TH ST (600 - 699),Assessors Block 3941/Lot001,3941001,3941,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7647413364705, -122.387124812169"
437211,Natan's Catering,Truck,9212000,MISSOURI ST: 20TH ST to SIERRA ST (500 - 630),555 MISSOURI ST,4101031,4101,31,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Fr:9AM-10AM/12PM-1PM,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7593037801842, -122.395902231226"
437212,Natan's Catering,Truck,7174000,ILLINOIS ST: 25TH ST to END (1500 - 1599),Assessors Block 4296/Lot010,4296010,4296,10,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7524050062858, -122.387000196288"
437213,Natan's Catering,Truck,1400001,25TH ST: MARYLAND ST to MICHIGAN ST (400 - 699),Assessors Block 4241/Lot002,4241002,4241,2,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7533400149877, -122.384128384227"
437214,Natan's Catering,Truck,6721000,HARRISON ST: MERLIN ST to OAK GROVE ST (924 - 950),950 HARRISON ST,3753241,3753,241,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Fr:12PM-1PM,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7783886295689, -122.403191783219"
437215,Natan's Catering,Truck,5337000,EVANS AVE: RANKIN ST to SELBY ST (1800 - 1890),1801 EVANS AVE,5232005,5232,5,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Fr:12PM-1PM,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7445912089067, -122.393076880848"
437216,Natan's Catering,Truck,2157202,ALEMANY BLVD: FOLSOM ST to ELLSWORTH ST \ I-280 S OFF RAMP \ I-280 S ON RAMP (400 - 498) -- NORTH --,400 ALEMANY BLVD,5843024,5843,24,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Fr:12PM-1PM,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7331424089687, -122.414568632409"
437217,Natan's Catering,Truck,1507000,26TH ST: RHODE ISLAND ST to KANSAS ST (2200 - 2299),Assessors Block 4281a/Lot012A,4281a012A,4281a,012A,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7507607832692, -122.401540291347"
437218,Natan's Catering,Truck,10827000,QUINT ST: ARTHUR AVE to CUSTER AVE (1 - 199),50 QUINT ST,5201001,5201,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:7AM-8AM,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7464705204604, -122.388990808645"
437219,Natan's Catering,Truck,8694000,MARIN ST: END to MICHIGAN ST (800 - 899),888 MARIN ST,4358007,4358,7,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:8AM-9AM,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7494583428374, -122.385081339669"
437220,Natan's Catering,Truck,197101,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3201 03RD ST,4377001,4377,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:8AM-9AM,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.748445352649, -122.38687903197"
437221,Natan's Catering,Truck,7727000,KANSAS ST: 16TH ST to 17TH ST (300 - 399),350 KANSAS ST,3958001.0,3958,1.0,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:9AM-10AM,,04/12/2013 02:43:48 PM,2013-04-12,1,2014-03-15,"37.7653706831121, -122.403907848202"
