Place ID	Place name	Coordinates	Vicinities	Geo-Historical Groups
76.0	Pistoia	43.9303475,10.9078587	Grand Duchy of Toscana	Grand Duchy of Toscana
77.0	Pola	44.878054,12.0185741	Beyond the Italian Peninsula	Beyond the Italian Peninsula
78.0	Polignano a Mare	40.9948996,17.2225389	Kingdom of Naples	Kingdom of Naples
79.0	Polla	40.5148399,15.4948137	Kingdom of Naples	Kingdom of Naples
80.0	Pompeii	40.7481323,14.4898001	Naples	Kingdom of Naples
81.0	Pontecorvo	41.4545679,13.6637674	Kingdom of Naples	Kingdom of Naples
123.0	Pontine Marshes	41.466667, 12.9	Papal States	Papal States
82.0	Portici	40.8141218,14.339067	Naples	Kingdom of Naples
124.0	Pozzuoli	40.844444, 14.093333	Naples	Kingdom of Naples
83.0	Ravenna	44.4183598,12.2035294	Papal States	Papal States
84.0	Reggio (Calabria)	38.1113006,15.6472914	Kingdom of Naples	Kingdom of Naples
117.0	Reggio (Emilia)	44.7, 10.633333	Duchy of Modena	Duchy of Modena
125.0	Rhodes	36.166667, 28	Beyond the Italian Peninsula	Beyond the Italian Peninsula
85.0	Rimini	44.0678288,12.5695158	Papal States	Papal States
86.0	Rivoli	45.0710902,7.513821	House of Savoy/Kingdom of Sardinia	House of Savoy/Kingdom of Sardinia
87.0	Rome	41.8723889,12.4801802	Rome	Papal States
88.0	Salerno	40.6824408,14.7680961	Kingdom of Naples	Kingdom of Naples
89.0	Sicily	37.5999938,14.0153557	Sicily	Sicily
90.0	Siena	43.318809,11.3307574	Grand Duchy of Toscana	Grand Duchy of Toscana
126.0	Solfatara	40.827, 14.139	Naples	Kingdom of Naples
91.0	Sora	41.7188539,13.6130491	Papal States	Papal States
127.0	Spalato	43.51, 16.45	Beyond the Italian Peninsula	Beyond the Italian Peninsula
92.0	Spoleto	42.7305146,12.7344664	Papal States	Papal States
93.0	Subiaco	41.9246531,13.0936685	Kingdom of Naples	Kingdom of Naples
94.0	Tagliacozzo	42.0686395,13.2517751	Kingdom of Naples	Kingdom of Naples
128.0	Tarquinia	42.249167, 11.756111	Grand Duchy of Toscana	Grand Duchy of Toscana
95.0	Terni	42.5636168,12.6426604	Papal States	Papal States
96.0	Terracina	41.2963728,13.2332657	Papal States	Papal States
97.0	Tivoli	41.959817,12.8022261	Rome	Papal States
98.0	Trani	41.2774857,16.4178334	Kingdom of Naples	Kingdom of Naples
99.0	Trasacco	41.9600762,13.536615	Kingdom of Naples	Kingdom of Naples
100.0	Treviso	45.6668893,12.2430437	Republic of Venice	Republic of Venice
101.0	Trieste	45.6495264,13.7768182	Republic of Venice	Republic of Venice
102.0	Turin	45.070312,7.6868565	Turin	House of Savoy/Kingdom of Sardinia
103.0	Urbino	43.7262567,12.6365633	Papal States	Papal States
104.0	Velletri	41.6868422,12.7785347	Rome	Papal States
105.0	Veneto	45.7623333,11.690976	Republic of Venice	Republic of Venice
106.0	Venice	45.4408474,12.3155151	Venice	Republic of Venice
130.0	Vermei		Republic of Venice	Republic of Venice
107.0	Verona	45.4383842,10.9916215	Republic of Venice	Republic of Venice
131.0	Vesuvius	40.816667, 14.433333	Naples	Kingdom of Naples
108.0	Vicenza	45.5454787,11.5354214	Republic of Venice	Republic of Venice
109.0	Viterbo	42.4206766,12.107669	Papal States	Papal States
